sku,location,period_start,qty
SMP-100,SMP-DC-N,2026-03-23,238
SMP-100,SMP-DC-N,2026-03-30,201
SMP-100,SMP-DC-N,2026-04-06,208
SMP-100,SMP-DC-N,2026-04-13,198
SMP-100,SMP-DC-N,2026-04-20,110
SMP-100,SMP-DC-N,2026-04-27,229
SMP-100,SMP-DC-N,2026-05-04,213
SMP-100,SMP-DC-N,2026-05-11,213
SMP-100,SMP-DC-N,2026-05-18,109
SMP-100,SMP-DC-N,2026-05-25,107
SMP-100,SMP-DC-N,2026-06-01,147
SMP-100,SMP-DC-N,2026-06-08,167
SMP-100,SMP-DC-N,2026-06-15,203
SMP-100,SMP-DC-N,2026-06-22,187
SMP-100,SMP-DC-N,2026-06-29,214
SMP-100,SMP-DC-N,2026-07-06,159
SMP-100,SMP-DC-N,2026-07-13,204
SMP-100,SMP-DC-N,2026-07-20,208
SMP-100,SMP-DC-N,2026-07-27,158
SMP-100,SMP-DC-N,2026-08-03,270
SMP-100,SMP-DC-N,2026-08-10,215
SMP-100,SMP-DC-N,2026-08-17,246
SMP-100,SMP-DC-N,2026-08-24,160
SMP-100,SMP-DC-N,2026-08-31,154
SMP-100,SMP-DC-N,2026-09-07,173
SMP-100,SMP-DC-N,2026-09-14,184
SMP-100,SMP-DC-S,2026-03-23,219
SMP-100,SMP-DC-S,2026-03-30,201
SMP-100,SMP-DC-S,2026-04-06,168
SMP-100,SMP-DC-S,2026-04-13,144
SMP-100,SMP-DC-S,2026-04-20,164
SMP-100,SMP-DC-S,2026-04-27,247
SMP-100,SMP-DC-S,2026-05-04,151
SMP-100,SMP-DC-S,2026-05-11,201
SMP-100,SMP-DC-S,2026-05-18,209
SMP-100,SMP-DC-S,2026-05-25,119
SMP-100,SMP-DC-S,2026-06-01,191
SMP-100,SMP-DC-S,2026-06-08,251
SMP-100,SMP-DC-S,2026-06-15,94
SMP-100,SMP-DC-S,2026-06-22,174
SMP-100,SMP-DC-S,2026-06-29,184
SMP-100,SMP-DC-S,2026-07-06,150
SMP-100,SMP-DC-S,2026-07-13,213
SMP-100,SMP-DC-S,2026-07-20,186
SMP-100,SMP-DC-S,2026-07-27,120
SMP-100,SMP-DC-S,2026-08-03,228
SMP-100,SMP-DC-S,2026-08-10,221
SMP-100,SMP-DC-S,2026-08-17,234
SMP-100,SMP-DC-S,2026-08-24,257
SMP-100,SMP-DC-S,2026-08-31,206
SMP-100,SMP-DC-S,2026-09-07,195
SMP-100,SMP-DC-S,2026-09-14,128
SMP-200,SMP-DC-N,2026-03-23,210
SMP-200,SMP-DC-N,2026-03-30,287
SMP-200,SMP-DC-N,2026-04-06,133
SMP-200,SMP-DC-N,2026-04-13,242
SMP-200,SMP-DC-N,2026-04-20,264
SMP-200,SMP-DC-N,2026-04-27,251
SMP-200,SMP-DC-N,2026-05-04,228
SMP-200,SMP-DC-N,2026-05-11,332
SMP-200,SMP-DC-N,2026-05-18,329
SMP-200,SMP-DC-N,2026-05-25,279
SMP-200,SMP-DC-N,2026-06-01,211
SMP-200,SMP-DC-N,2026-06-08,313
SMP-200,SMP-DC-N,2026-06-15,213
SMP-200,SMP-DC-N,2026-06-22,181
SMP-200,SMP-DC-N,2026-06-29,214
SMP-200,SMP-DC-N,2026-07-06,117
SMP-200,SMP-DC-N,2026-07-13,158
SMP-200,SMP-DC-N,2026-07-20,357
SMP-200,SMP-DC-N,2026-07-27,189
SMP-200,SMP-DC-N,2026-08-03,305
SMP-200,SMP-DC-N,2026-08-10,198
SMP-200,SMP-DC-N,2026-08-17,242
SMP-200,SMP-DC-N,2026-08-24,217
SMP-200,SMP-DC-N,2026-08-31,336
SMP-200,SMP-DC-N,2026-09-07,133
SMP-200,SMP-DC-N,2026-09-14,320
SMP-200,SMP-DC-S,2026-03-23,204
SMP-200,SMP-DC-S,2026-03-30,241
SMP-200,SMP-DC-S,2026-04-06,201
SMP-200,SMP-DC-S,2026-04-13,268
SMP-200,SMP-DC-S,2026-04-20,282
SMP-200,SMP-DC-S,2026-04-27,288
SMP-200,SMP-DC-S,2026-05-04,151
SMP-200,SMP-DC-S,2026-05-11,211
SMP-200,SMP-DC-S,2026-05-18,331
SMP-200,SMP-DC-S,2026-05-25,232
SMP-200,SMP-DC-S,2026-06-01,208
SMP-200,SMP-DC-S,2026-06-08,270
SMP-200,SMP-DC-S,2026-06-15,270
SMP-200,SMP-DC-S,2026-06-22,257
SMP-200,SMP-DC-S,2026-06-29,235
SMP-200,SMP-DC-S,2026-07-06,232
SMP-200,SMP-DC-S,2026-07-13,259
SMP-200,SMP-DC-S,2026-07-20,207
SMP-200,SMP-DC-S,2026-07-27,233
SMP-200,SMP-DC-S,2026-08-03,273
SMP-200,SMP-DC-S,2026-08-10,160
SMP-200,SMP-DC-S,2026-08-17,222
SMP-200,SMP-DC-S,2026-08-24,227
SMP-200,SMP-DC-S,2026-08-31,268
SMP-200,SMP-DC-S,2026-09-07,333
SMP-200,SMP-DC-S,2026-09-14,126
SMP-300,SMP-DC-N,2026-03-23,55
SMP-300,SMP-DC-N,2026-03-30,122
SMP-300,SMP-DC-N,2026-04-06,146
SMP-300,SMP-DC-N,2026-04-13,95
SMP-300,SMP-DC-N,2026-04-20,82
SMP-300,SMP-DC-N,2026-04-27,97
SMP-300,SMP-DC-N,2026-05-04,83
SMP-300,SMP-DC-N,2026-05-11,126
SMP-300,SMP-DC-N,2026-05-18,93
SMP-300,SMP-DC-N,2026-05-25,117
SMP-300,SMP-DC-N,2026-06-01,136
SMP-300,SMP-DC-N,2026-06-08,104
SMP-300,SMP-DC-N,2026-06-15,135
SMP-300,SMP-DC-N,2026-06-22,130
SMP-300,SMP-DC-N,2026-06-29,135
SMP-300,SMP-DC-N,2026-07-06,128
SMP-300,SMP-DC-N,2026-07-13,43
SMP-300,SMP-DC-N,2026-07-20,92
SMP-300,SMP-DC-N,2026-07-27,99
SMP-300,SMP-DC-N,2026-08-03,100
SMP-300,SMP-DC-N,2026-08-10,114
SMP-300,SMP-DC-N,2026-08-17,132
SMP-300,SMP-DC-N,2026-08-24,63
SMP-300,SMP-DC-N,2026-08-31,57
SMP-300,SMP-DC-N,2026-09-07,83
SMP-300,SMP-DC-N,2026-09-14,89
SMP-300,SMP-DC-S,2026-03-23,130
SMP-300,SMP-DC-S,2026-03-30,128
SMP-300,SMP-DC-S,2026-04-06,137
SMP-300,SMP-DC-S,2026-04-13,103
SMP-300,SMP-DC-S,2026-04-20,101
SMP-300,SMP-DC-S,2026-04-27,121
SMP-300,SMP-DC-S,2026-05-04,107
SMP-300,SMP-DC-S,2026-05-11,63
SMP-300,SMP-DC-S,2026-05-18,66
SMP-300,SMP-DC-S,2026-05-25,112
SMP-300,SMP-DC-S,2026-06-01,89
SMP-300,SMP-DC-S,2026-06-08,105
SMP-300,SMP-DC-S,2026-06-15,131
SMP-300,SMP-DC-S,2026-06-22,99
SMP-300,SMP-DC-S,2026-06-29,85
SMP-300,SMP-DC-S,2026-07-06,52
SMP-300,SMP-DC-S,2026-07-13,108
SMP-300,SMP-DC-S,2026-07-20,85
SMP-300,SMP-DC-S,2026-07-27,100
SMP-300,SMP-DC-S,2026-08-03,98
SMP-300,SMP-DC-S,2026-08-10,125
SMP-300,SMP-DC-S,2026-08-17,80
SMP-300,SMP-DC-S,2026-08-24,128
SMP-300,SMP-DC-S,2026-08-31,93
SMP-300,SMP-DC-S,2026-09-07,113
SMP-300,SMP-DC-S,2026-09-14,140
SMP-400,SMP-DC-N,2026-03-23,308
SMP-400,SMP-DC-N,2026-03-30,390
SMP-400,SMP-DC-N,2026-04-06,429
SMP-400,SMP-DC-N,2026-04-13,111
SMP-400,SMP-DC-N,2026-04-20,429
SMP-400,SMP-DC-N,2026-04-27,215
SMP-400,SMP-DC-N,2026-05-04,395
SMP-400,SMP-DC-N,2026-05-11,211
SMP-400,SMP-DC-N,2026-05-18,352
SMP-400,SMP-DC-N,2026-05-25,438
SMP-400,SMP-DC-N,2026-06-01,324
SMP-400,SMP-DC-N,2026-06-08,353
SMP-400,SMP-DC-N,2026-06-15,404
SMP-400,SMP-DC-N,2026-06-22,349
SMP-400,SMP-DC-N,2026-06-29,330
SMP-400,SMP-DC-N,2026-07-06,466
SMP-400,SMP-DC-N,2026-07-13,425
SMP-400,SMP-DC-N,2026-07-20,312
SMP-400,SMP-DC-N,2026-07-27,568
SMP-400,SMP-DC-N,2026-08-03,240
SMP-400,SMP-DC-N,2026-08-10,414
SMP-400,SMP-DC-N,2026-08-17,315
SMP-400,SMP-DC-N,2026-08-24,348
SMP-400,SMP-DC-N,2026-08-31,396
SMP-400,SMP-DC-N,2026-09-07,356
SMP-400,SMP-DC-N,2026-09-14,391
SMP-400,SMP-DC-S,2026-03-23,208
SMP-400,SMP-DC-S,2026-03-30,210
SMP-400,SMP-DC-S,2026-04-06,389
SMP-400,SMP-DC-S,2026-04-13,256
SMP-400,SMP-DC-S,2026-04-20,251
SMP-400,SMP-DC-S,2026-04-27,213
SMP-400,SMP-DC-S,2026-05-04,444
SMP-400,SMP-DC-S,2026-05-11,400
