supplier,sku,location,lead_time_days,promised_days,received_date
SMP-SUP-A,SMP-100,SMP-DC-N,18,12,2026-09-01
SMP-SUP-A,SMP-100,SMP-DC-N,13,12,2026-05-27
SMP-SUP-A,SMP-100,SMP-DC-N,8,12,2026-04-15
SMP-SUP-A,SMP-100,SMP-DC-N,19,12,2026-05-09
SMP-SUP-A,SMP-100,SMP-DC-N,13,12,2026-05-10
SMP-SUP-A,SMP-100,SMP-DC-N,14,12,2026-05-04
SMP-SUP-A,SMP-100,SMP-DC-N,13,12,2026-07-16
SMP-SUP-A,SMP-100,SMP-DC-N,9,12,2026-03-23
SMP-SUP-A,SMP-100,SMP-DC-N,6,12,2026-07-13
SMP-SUP-A,SMP-100,SMP-DC-N,11,12,2026-04-27
SMP-SUP-A,SMP-100,SMP-DC-S,14,12,2026-05-26
SMP-SUP-A,SMP-100,SMP-DC-S,11,12,2026-08-13
SMP-SUP-A,SMP-100,SMP-DC-S,9,12,2026-06-29
SMP-SUP-A,SMP-100,SMP-DC-S,13,12,2026-08-30
SMP-SUP-A,SMP-100,SMP-DC-S,10,12,2026-07-25
SMP-SUP-A,SMP-100,SMP-DC-S,9,12,2026-03-30
SMP-SUP-A,SMP-100,SMP-DC-S,12,12,2026-08-09
SMP-SUP-A,SMP-100,SMP-DC-S,13,12,2026-03-18
SMP-SUP-A,SMP-100,SMP-DC-S,10,12,2026-07-15
SMP-SUP-A,SMP-100,SMP-DC-S,10,12,2026-08-13
SMP-SUP-B,SMP-200,SMP-DC-N,41,35,2026-08-24
SMP-SUP-B,SMP-200,SMP-DC-N,34,35,2026-06-08
SMP-SUP-B,SMP-200,SMP-DC-N,39,35,2026-03-31
SMP-SUP-B,SMP-200,SMP-DC-N,32,35,2026-07-22
SMP-SUP-B,SMP-200,SMP-DC-N,39,35,2026-05-09
SMP-SUP-B,SMP-200,SMP-DC-N,42,35,2026-06-06
SMP-SUP-B,SMP-200,SMP-DC-N,32,35,2026-06-28
SMP-SUP-B,SMP-200,SMP-DC-N,39,35,2026-08-25
SMP-SUP-B,SMP-200,SMP-DC-N,35,35,2026-04-29
SMP-SUP-B,SMP-200,SMP-DC-N,33,35,2026-05-23
SMP-SUP-B,SMP-200,SMP-DC-S,34,35,2026-06-25
SMP-SUP-B,SMP-200,SMP-DC-S,36,35,2026-05-08
SMP-SUP-B,SMP-200,SMP-DC-S,28,35,2026-09-01
SMP-SUP-B,SMP-200,SMP-DC-S,28,35,2026-08-20
SMP-SUP-B,SMP-200,SMP-DC-S,49,35,2026-08-22
SMP-SUP-B,SMP-200,SMP-DC-S,34,35,2026-08-27
SMP-SUP-B,SMP-200,SMP-DC-S,35,35,2026-08-02
SMP-SUP-B,SMP-200,SMP-DC-S,37,35,2026-07-10
SMP-SUP-B,SMP-200,SMP-DC-S,36,35,2026-03-28
SMP-SUP-B,SMP-200,SMP-DC-S,20,35,2026-07-13
SMP-SUP-A,SMP-300,SMP-DC-N,9,12,2026-05-09
SMP-SUP-A,SMP-300,SMP-DC-N,14,12,2026-04-24
SMP-SUP-A,SMP-300,SMP-DC-N,9,12,2026-07-08
SMP-SUP-A,SMP-300,SMP-DC-N,12,12,2026-09-03
SMP-SUP-A,SMP-300,SMP-DC-N,13,12,2026-08-30
SMP-SUP-A,SMP-300,SMP-DC-N,10,12,2026-07-11
SMP-SUP-A,SMP-300,SMP-DC-N,16,12,2026-07-13
SMP-SUP-A,SMP-300,SMP-DC-N,10,12,2026-08-27
SMP-SUP-A,SMP-300,SMP-DC-N,10,12,2026-07-12
SMP-SUP-A,SMP-300,SMP-DC-N,11,12,2026-08-17
SMP-SUP-A,SMP-300,SMP-DC-S,9,12,2026-04-29
SMP-SUP-A,SMP-300,SMP-DC-S,13,12,2026-06-03
SMP-SUP-A,SMP-300,SMP-DC-S,14,12,2026-08-15
SMP-SUP-A,SMP-300,SMP-DC-S,11,12,2026-09-06
SMP-SUP-A,SMP-300,SMP-DC-S,10,12,2026-08-20
SMP-SUP-A,SMP-300,SMP-DC-S,12,12,2026-08-07
SMP-SUP-A,SMP-300,SMP-DC-S,12,12,2026-06-30
SMP-SUP-A,SMP-300,SMP-DC-S,14,12,2026-04-10
SMP-SUP-A,SMP-300,SMP-DC-S,10,12,2026-07-05
SMP-SUP-A,SMP-300,SMP-DC-S,17,12,2026-05-26
SMP-SUP-B,SMP-400,SMP-DC-N,30,35,2026-06-21
SMP-SUP-B,SMP-400,SMP-DC-N,35,35,2026-09-13
SMP-SUP-B,SMP-400,SMP-DC-N,37,35,2026-09-13
SMP-SUP-B,SMP-400,SMP-DC-N,35,35,2026-03-14
SMP-SUP-B,SMP-400,SMP-DC-N,13,35,2026-05-09
SMP-SUP-B,SMP-400,SMP-DC-N,34,35,2026-05-19
SMP-SUP-B,SMP-400,SMP-DC-N,35,35,2026-04-02
SMP-SUP-B,SMP-400,SMP-DC-N,44,35,2026-04-04
SMP-SUP-B,SMP-400,SMP-DC-N,26,35,2026-06-09
SMP-SUP-B,SMP-400,SMP-DC-N,39,35,2026-05-11
SMP-SUP-B,SMP-400,SMP-DC-S,33,35,2026-07-21
SMP-SUP-B,SMP-400,SMP-DC-S,40,35,2026-06-22
SMP-SUP-B,SMP-400,SMP-DC-S,40,35,2026-03-15
SMP-SUP-B,SMP-400,SMP-DC-S,51,35,2026-04-08
SMP-SUP-B,SMP-400,SMP-DC-S,50,35,2026-09-04
SMP-SUP-B,SMP-400,SMP-DC-S,54,35,2026-08-15
SMP-SUP-B,SMP-400,SMP-DC-S,46,35,2026-07-14
SMP-SUP-B,SMP-400,SMP-DC-S,36,35,2026-05-30
SMP-SUP-B,SMP-400,SMP-DC-S,37,35,2026-06-12
SMP-SUP-B,SMP-400,SMP-DC-S,38,35,2026-05-11
SMP-SUP-A,SMP-500,SMP-DC-N,11,12,2026-07-17
SMP-SUP-A,SMP-500,SMP-DC-N,10,12,2026-03-24
